index,Unnamed: 0,id,text,exp_tag,amb_tag,tobacco_warning
0,0,swishersweets289,Your shii 🔥tho 🤷u200d♂️,False,False,False
1,1,swishersweets289,🔥🔥,False,False,False
2,2,swishersweets504,💨 💨,False,False,False
3,3,swishersweets262,Nasty blunt Frfr summer twist is the best,False,False,False
4,4,swishersweets262,notcorye dawg ur like 12 wtf,False,False,False
5,5,swishersweets262,Had to vote for Swerve ❤️🔥💋 these and Purple Swish are my faveeesssss,False,False,False
6,6,swishersweets262,My favorite ❤️,False,False,False
7,7,swishersweets262,Purple swish,False,False,False
8,8,swishersweets262,annettecantu4 🤔,False,False,False
9,9,swishersweets262,This is the BEST SWISHER I  EXISTENCE,False,False,False
10,10,swishersweets262,Game slivers all day,False,False,False
11,11,swishersweets262,My favorite 👀,False,False,False
12,12,swishersweets262,Disgusting flavor,False,False,False
13,13,swishersweets262,Best flavor hands down 💯💯💯,False,False,False
14,14,swishersweets262,Yesssssssssssssss,False,False,False
15,15,swishersweets262,samishannara this is bullshit go vote for boozey mango,False,False,False
16,16,swishersweets262,amanda4lif3420  we need to get this one,False,False,False
17,17,swishersweets262,meganashley1 yes that looks like it would taste good,False,False,False
18,18,swishersweets262,chrisfromthe3rd,False,False,False
19,19,swishersweets262,🙃,False,False,False
20,20,swishersweets262,Gatorade flavors been said this but I know tobacco can’t affiliate with a sports thing so I guess lol,False,False,False
21,21,swishersweets262,👍🏻👍🏻,False,False,False
22,22,swishersweets262,brilc45,False,False,False
23,23,swishersweets262,We need summer twist back swishersweets,False,False,False
24,24,swishersweets262,These should be around all year best ones yall make,False,False,False
25,25,swishersweets262,💯sweet cream the best,False,False,False
26,26,swishersweets262,swerveb unclebouji  ,False,False,False
27,27,swishersweets276,13aydenkelley,False,False,False
28,28,swishersweets276,swishersweets check my new song out,False,False,False
29,29,swishersweets510,Quel grape ci sta bene nei nostri polmoni alessiolomba,False,False,False
30,30,swishersweets510,alessiolomba Hehehehehehe banana smash swishersweets,False,False,False
31,31,swishersweets510,let me have sum tropical fusion 😕😕😕,False,False,False
32,32,swishersweets510,Sticky sweets here to stay,False,False,False
33,33,swishersweets510,I’m 14 and I’m going to high school should I get this instead of a Juul 🤔,False,False,False
34,34,swishersweets510,1300rk Naw I like my brain,False,False,False
35,35,swishersweets510,solid4rity Always that one loser talking shit to a kid on ig 🙌 Mrs High power over here lol Sounds like you need to enjoy yourself some good indica to relax yourself my guy,False,False,False
36,36,swishersweets510,That’s the shit in the bay 🔥,False,False,False
37,37,swishersweets510,Y’all still smoking swishers ☠️,False,False,False
38,38,swishersweets510,No matter what funky flavors y’all make and I try them all I still always get a pack of grape as well 🤘,False,False,False
39,39,swishersweets510,Thats the flavor am about to smoke on,False,False,False
40,40,swishersweets510,Just posted the most crazy video GO CHECK IT OUT🔴🔥💀,False,False,False
41,41,swishersweets510,Just posted the most crazy video GO CHECK IT OUT🔴🔥💀,False,False,False
42,42,swishersweets510,😍💜💜,False,False,False
43,43,swishersweets510,Everybody’s loving that grape out here in Colorado,False,False,False
44,44,swishersweets510,Dulce De Luche😂🤣,False,False,False
45,45,swishersweets510,❤️❤️,False,False,False
46,46,swishersweets510,Grape the worst one  Only niggas with that trash ass gas smoke these,False,False,False
47,47,swishersweets510,dripv 🤫,False,False,False
48,48,swishersweets510,Grape 4Life 💯,False,False,False
49,49,swishersweets510,Gross,False,False,False
50,50,swishersweets510,The grape one low key sucks ass,False,False,False
51,51,swishersweets538,boutta roll up rn,False,False,False
52,52,swishersweets538,everyday we smoke swishers,False,False,False
53,53,swishersweets538,Love it and smoking happy Wednesday,False,False,False
54,54,swishersweets538,EVERYDAY  is a smoke sesh with Swishers 💨🤘,False,False,False
55,55,swishersweets538,Green Sweets🙌,False,False,False
56,56,swishersweets538,Wild Rush everyday 🔥,False,False,False
57,57,swishersweets538,Nobody smokes straight sweet if you do your nasty idk why they are portraying it like people actually smoke these we only buy these for weed strictly,False,False,False
58,58,swishersweets538,Y’all get clowned in every post for trying to make people think anyone smokes swishers straight They’re ONLY used for weed foh 😂,False,False,False
59,59,swishersweets706,Man I wish I was there You guys rock,False,False,False
60,60,swishersweets706,🤵🏾🗯️©⭐️💎💲® 👍🏾🚨,False,False,False
61,61,swishersweets706,chaostheori,False,False,False
62,62,swishersweets706,jonnyvee12 he’s so down to earth and energetic genuinely a great guy,False,False,False
63,63,swishersweets706,lifeofdesiigner two of your biggest fans right here 🙌🏼,False,False,False
64,64,swishersweets706,Seffmade records up now,False,False,False
65,65,swishersweets706,Head over to my page and check out my music 🙏🏽 please give me a follow and share my page if u fw it Feel free to message me 💎💯 Thank You,False,False,False
66,66,swishersweets706,How can i perform,False,False,False
67,67,swishersweets712,educatedsavages,False,False,False
68,68,swishersweets712,Lets do a photoshoot or commercial DM my manager RodrickBeats,False,False,False
69,69,swishersweets712,rodrickbeats swishersweets 😈💯,False,False,False
70,70,swishersweets712,Where can I order him to be delivered to my place tho,False,False,False
71,71,swishersweets712,playyyyyyyyyyyyyy lmao,False,False,False
72,72,swishersweets712,playyyyyyyyyyyyyy hahahahaha where should I ship me,False,False,False
73,73,swishersweets712,LET,False,False,False
74,74,swishersweets712,❤💯💯,False,False,False
75,75,swishersweets712,Give me free merch,False,False,False
76,76,swishersweets712,I got this shirt for free at a concert once,False,False,False
77,77,swishersweets712,Do a rillo collection collab with monsterenergy flavors,False,False,False
78,78,swishersweets712,httpssoundcloudcomprimojab1oneerythingproducedbysicksiah,False,False,False
79,79,swishersweets712,Rap Artist jerzeeswisha973 need A Official Swisher Sponsor,False,False,False
80,80,swishersweets712,Baccwoods better,False,False,False
81,81,swishersweets712,BackWoods Swishers,False,False,False
82,82,swishersweets712,How do I get a follow from my favorite blunts,False,False,False
83,83,swishersweets712,My absolute favorite Can i get some merch and a follow swishersweets frozenheartxcii,False,False,False
84,84,swishersweets712,So is it too late to sign up for Atlanta because landrewcomin,False,False,False
85,85,swishersweets712,💯💯💯💯👌👌👌👌,False,False,False
86,86,swishersweets712,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,False,False,False
87,87,swishersweets712,Why it look like he gotta bald head with  some nappy dreads photoshopped on,False,False,False
88,88,swishersweets29,noerrrrr1,False,False,False
89,89,swishersweets15,What’s up how can we collaborate how can I get swisher to sponsor an artist,False,False,False
90,90,swishersweets15,therealcanseco Thank you for your interest in the Artist Project Please contact infoartistprojectcom with social media handles and provide a detailed overview of your partnership request,False,False,False
