,id,text,exp_tag,amb_tag
0,swishersweets 289,We don’t think the big game can top this live @dababy and @jabbawockeez performance! Hit our highlights to watch it!,False,False
1,swishersweets 504,"It’s go time, Austin. by @theswisherhaus starts...NOW . . . ",False,False
2,swishersweets 262,"Swerve here sliding into your Instagram feed. Straight up, my Strawberry Margarita goodness means you don't have to wait for Taco Tuesday to get that Marg fix. I think y'all already know that since I'm swerving into FIRST PLACE in the . Help me keep this lead at link in the bio. - 🍓",False,False
3,swishersweets 276,Don't miss out on a chance to receive $10K to help kickstart your music career. Hit the link in bio if you think you have what it takes!,False,False
4,swishersweets 510,Have a grape Monday Swisher fam! . . . ,False,False
5,swishersweets 538,On Wednesdays we smoke Swishers. . . . ,False,False
6,swishersweets 706,"@LifeOfDesiigner showed OUT last Saturday for the edition of Pack Night 2018.  , get ready to represent. . . . ",False,False
7,swishersweets 712,"Hey you, yes YOU! If your fit doesn’t flex the shield, bounce over to www.swishergear.com and fix that pronto.",False,False
8,swishersweets 29,Tag a friend to get the smoke session going,False,False
9,swishersweets 15,Our gift to you for being the dopest. 25% OFF + free shipping the whole month. ,False,False
10,swishersweets 699,Detroit showed out! Thank you to everyone who came through. Go to ap.swishersweets.com now and vote to send your favorite new artist to the NOLA Takeover. Next stop… Philadelphia!  ,False,False
11,swishersweets 114,That’s a tough one. WYD?,False,False
12,swishersweets 672,Double-Tap if you’ve added this to your summer lineup. Cop our latest Limited Edition exclusively at @CircleKStores @holidaystationstores . . . . ,False,False
13,swishersweets 666,Take it to the beach with Coastal Cocktail’s blend of kiwi and peach. . . . ,False,False
14,swishersweets 100,In case of emergency: Rip pouch and strike lighter. ,False,False
15,swishersweets 128,Nothing can kill this vibe. ,False,False
16,swishersweets 470,"Swisher good, swisher sweet. Let’s light up the night 🔥 . . . ",False,False
17,swishersweets 316,Is your girl the type that would pass it?,False,False
18,swishersweets 302,"The incredible host for tonight’s red carpet, @justinavalentine !!",False,False
19,swishersweets 464,Biiiiig mood. . . . ,False,False
20,swishersweets 458,Now it’s a party. Tag a shawty who brings the 🔥 . . . ,False,False
21,swishersweets 459,In the studio today with @ludacris and our boy @childishmajor. Stay tuned for their collab coming soon✨,False,False
22,swishersweets 303,@melii brought the 🔥 to the carpet tonight!,False,False
23,swishersweets 465,"IT’S BACK. Run, don’t walk, to your hookup and stock up on this fave Limited Edition. 🍒💥 . . . ",False,False
24,swishersweets 471,"If you thought 2018 was 🔥, just you wait. Introducing the Artist Project Class of 2019- we out here. . . . ",False,False
25,swishersweets 317,You don't mess with the greatest hits.,False,False
26,swishersweets 129,Not a second late.,False,False
27,swishersweets 667,Undefeated . Cop your new favorite jersey exclusively at swishergear.com. . . . ,False,False
28,swishersweets 101,"When you hit that perfect tear you know it's going to be a good smoke. Spark it up, it's the weekend. ",False,False
29,swishersweets 115,Lace up the kicks and grab the sticks. ,False,False
30,swishersweets 673,"Are you loco for Coco? Let us know what you think of our latest Limited Edition, , exclusively at @CircleKStores @holidaystationstores . . . ",False,False
31,swishersweets 698,"Talk about energy! was bigger than one night’s worth of coverage could contain, so we’re keeping it going all week long. Stay plugged in to our Story for outtakes featuring @fettywap1738 @snapdogg @LaBritney_ and @TaylorJTakeover.  ",False,False
32,swishersweets 14,We've teamed up with @DaBaby to help give an emerging artist the runway to jump start his career with the Hometown Grant. Tune-in tomorrow to see it all go down in Episode One of the series! ,False,False
33,swishersweets 28,"It’s that time of year. Pull that collar up and let the holiday lights be your guide on the way home. Fire up that first twilight Swisher Sweets cigarillo of the holiday season, because .",False,False
34,swishersweets 713,We're going back to Cali on June 16th. Hit that link on our profile for ticket info and details on how you can see @LifeofDesiigner with this year's new artists. . . . ,False,False
35,swishersweets 707,Our first round of New Talent took the stage last night at . Vote for your favorite now at ap.swishersweets.com to send one to the Year-End Event in New Orleans later this year.,False,False
36,swishersweets 539,Get your shine on. . . . ,False,False
37,swishersweets 277,@shaq @dababy @tylayaweh @yellabeezy214 @djnittigritti,False,False
38,swishersweets 511,Repping the shield never goes out of style. . . . ,False,False
39,swishersweets 505,🚨LINEUP ALERT🚨 We’ve got @lilbaby_1 & @saintjhn taking the stage at the . Tag your concert buddy below and RSVP at . . . ,False,False
40,swishersweets 263,"It’s time for a ! I’m in 2nd place and I NEED your vote in the so I can come party with you in the 2020’s. OG’s know what’s good. So get to the link in the bio to vote for the Mango-Guava-ey goodness that is me, Boozy Mango. 🥭",False,False
41,swishersweets 288,@dababy needed to cool the crowd off after his 🔥 performance.,False,False
42,swishersweets 513,This is what the weekend was made for. . . . ,False,False
43,swishersweets 275,No matter the weather it's always Strawberry szn @ Swisher Sweets,False,False
44,swishersweets 261,"What gives, fam? Tropical Ice logging in from LAST PLACE to tell you why I’m the right blend to win this . I’m the iciest edition of Tropical Fusion so you know I’ll keep you cool all year long. I know it’s not personal, fam but I need that vote NOW if we’re gonna win this thing. Slide into that link up there and give me your vote. - Tropical Ice ❄️",False,False
45,swishersweets 507,"What’s sticky, sweet and not going anywhere? Encore Edition Sticky Sweets, that’s what. . . . ",False,False
46,swishersweets 249,Who's gotta have their grape? Show with a 🍇 below.,False,False
47,swishersweets 711,We’re down to the final countdown for the 2018 edition of the ! Who’s ridin’ with to see @LifeOfDesiigner kick this party off in ? . . . ,False,False
48,swishersweets 705,The Pack Night Tour continues! Next stop - Detroit. Get your tickets using the link in our bio to catch @FettyWap1738 with @LaBritney_ @snapdogg and @TaylorJTakeover on July 14th at St. Andrew’s Hall. . . . ,False,False
49,swishersweets 739,"We’ve set the stage, we’ve chosen the artists... Now it’s time for them to show out. Stay tuned for our Class of 2018 New Talent announcement.  Soon. 🤘",False,False
50,swishersweets 16,"Roommates that quarantine together, stay together.",False,False
51,swishersweets 103,Only a smooth smoke will do. Only ,False,False
52,swishersweets 665,So glad Banana Smash is back for good. Which Limited Edition should we add to the Encore Edition lineup this year? . . . ,False,False
53,swishersweets 671,The 2018 Pack Night Tour continues tonight at . Follow our story for live updates throughout the night.  ,False,False
54,swishersweets 117,Richer. Bolder. Smoother. Who’s putting a BLK Smooth in the rotation this week? ,False,False
55,swishersweets 659,It’s not a party without the Swishers. Tag someone that needs these tips. 👇👇 . . . ,False,False
56,swishersweets 498,Worth. The. Wait. What blend would you want to see at the end of that line? . . . ,False,False
57,swishersweets 467,The people's purple. . . . ,False,False
58,swishersweets 301,King picked up some fresh new hardware today! Congrats on the !,False,False
59,swishersweets 315,For those who are a little rough around the edges. Rough cut Sweet Aromatic is ready when you are.,False,False
60,swishersweets 473,Comment 🔥 below if you think @iamcardib lights up the room like a candle! . . .  ,False,False
61,swishersweets 329,New year AND new decade! Who's ready for 2020?,False,False
62,swishersweets 328,"If you thought SAINt JHN was going to take a break after his epic 2019, then you really don't know Ghetto Lenny. Go inside the mind of the Swisher Sweets Artist Project class member as he prepared for the final set on his IGNORANt FOREVER tour.",False,False
63,swishersweets 314,All we need on a Tuesday after a long wknd,False,False
64,swishersweets 472,"Feelin artsy, might delete later 🎨 . . . ",False,False
65,swishersweets 466,,False,False
66,swishersweets 300,"Latin Grammy WINNER, @djnittigritti turned up the heat on the carpet last night. Tune in for live coverage of his set tonight at @shaqsfunhouse !",False,False
67,swishersweets 499,You know it’s lit when the phones are put away. . . . ,False,False
68,swishersweets 658,Who’s trying to party with @laflare1017 at ?! Tickets are going fast for the September 22nd show. Get em while you can. Link in bio. . . . ,False,False
69,swishersweets 670,"If you weren’t in this crowd last night, you missed one hell of a show! Heads up ATL, you’re next... Get your tix now at AtlantaPackNight.com. You don’t want to miss Gucci Mane live. Tix are going fast. Link in bio. . . ",False,False
70,swishersweets 116,The Swisher Sweets Original Red show is almost over. Stock up on your favorite NOW or risk missing out for good. ,False,False
71,swishersweets 102,"Nothing but good vibes heading your way, fam. Keep your head up and keep making the most of those little moments. Because those are the moments that remind us that ",False,False
72,swishersweets 664,Tag someone who needs to try Limited Edition . . . . ,False,False
73,swishersweets 17,Drop the songs at the top of your ,False,False
74,swishersweets 738,"Hey, what’s up? Hello. @fettywap1738 joined the Artist Project fam Friday Night to help us honor an industry legend, Gucci Mane 🏹",False,False
75,swishersweets 704,What’s your favorite @FettyWap1738 track? Leave a comment below and tag a friend who needs to hear it LIVE at 👇👇👇 . . . ,False,False
76,swishersweets 710,Swishers are for sharing. . . . ,False,False
77,swishersweets 248,@ the Swisher Sweetie who needs to add this to her closet! ,False,False
78,swishersweets 260,"Cuddle up, it's hoodie szn.",False,False
79,swishersweets 506,Keep your pockets flush with Green. . . . ,False,False
80,swishersweets 512,Remember when Wild Rush was a ? Now that it’s an you can have it every day! . . . ,False,False
81,swishersweets 274,The battle begins in TWO DAYS! Tag a friend below so they know it’s almost go time.,False,False
82,swishersweets 258,Who's rocking the new gear out there? Let us know 👇,False,False
83,swishersweets 270,You sharing your Strawberry with someone this Vday? Let us know 👇,False,False
84,swishersweets 516,Life is sweeter when you’ve got Swishers. . . . ,False,False
85,swishersweets 502,The party is going strong out here in Austin! Don’t forget to follow our story for live updates. . . . ,False,False
86,swishersweets 264,Straight flexin'. Link in bio to shop.,False,False
87,swishersweets 728,Monday is over but Monday night is just getting started... . . . ,False,False
88,swishersweets 714,Drop a bar about our latest blend - SWERVE Strawberry Margarita 👇👇👇 . . . ,False,False
89,swishersweets 700,Happy Swisher fam! Stay safe out there and don’t forget the . . . . ,False,False
90,swishersweets 13,"Hometown Grant recipient, @freshprinceofbelmont, doesn't know what's coming when @dababy drops in to surprise him with the $10,000 check. ",False,False
91,swishersweets 648,Good vibes only. 👇👇 . . . ,False,False
92,swishersweets 660,Life is sweet when you make it a Swisher party. . . . ,False,False
93,swishersweets 106,It's a straight fact: EVERYONE can pull off a black tee. Get a quality one for your rotation at swishergear.com,False,False
