index,Unnamed: 0,id,text,exp_tag,amb_tag,extract_tag,tobacco_warning
0,0,swishersweets 289,We don’t think the big game can top this live dababy and jabbawockeez performance Hit our highlights to watch it,False,False,None,False
1,1,swishersweets 504,It’s go time Austin by theswisherhaus startsNOW    ,False,False,#AustinTakeover  #ATX  #theswisherhaus  #swishersweets,False
2,2,swishersweets 262,Swerve here sliding into your Instagram feed Straight up my Strawberry Margarita goodness means you dont have to wait for Taco Tuesday to get that Marg fix I think yall already know that since Im swerving into FIRST PLACE in the  Help me keep this lead at link in the bio  🍓,False,False,#BlendBattle,False
3,3,swishersweets 276,Dont miss out on a chance to receive 10K to help kickstart your music career Hit the link in bio if you think you have what it takes,False,False,None,False
4,4,swishersweets 510,Have a grape Monday Swisher fam    ,False,False,#Swishers  #SwisherSweets  #MondayMotivation  #Grape  #Cigarillos  #SmokeBreak  #LightItUp  #Cigarstagram,False
5,5,swishersweets 538,On Wednesdays we smoke Swishers    ,False,False,#SwisherSweets  #Swishers  #SmokeBreak  #SinceDayOne  #RideOrDie  #Cigarillos  #LightItUp  #GreenSweets,False
6,6,swishersweets 706,LifeOfDesiigner showed OUT last Saturday for the edition of Pack Night 2018   get ready to represent    ,False,False,#LA  #Detroit #HipHop  #LiveMusic  #DetroitRapNews  #SwisherSweets  #Desiigner  #LifeOfDesiigner,False
7,7,swishersweets 712,Hey you yes YOU If your fit doesn’t flex the shield bounce over to wwwswishergearcom and fix that pronto,False,False,None,False
8,8,swishersweets 29,Tag a friend to get the smoke session going,False,False,None,False
9,9,swishersweets 15,Our gift to you for being the dopest 25 OFF  free shipping the whole month ,False,False,#Linkinbio  #SSGear,False
10,10,swishersweets 699,Detroit showed out Thank you to everyone who came through Go to apswishersweetscom now and vote to send your favorite new artist to the NOLA Takeover Next stop… Philadelphia  ,False,False,#SwisherArtistProject  #DetroitVsEverybody  #PackNight  #Classof2018  #hiphop  #DetroitRapNews  #FettyWap  #KingZoo,False
11,11,swishersweets 114,That’s a tough one WYD,False,False,None,False
12,12,swishersweets 672,DoubleTap if you’ve added this to your summer lineup Cop our latest Limited Edition exclusively at CircleKStores holidaystationstores     ,False,False,#CocoBlue  #Summertime  #SwisherSweets  #LimitedEdition  #SmokeItUp  #LightItUp  #CircleK  #Exclusive  #Cigarstagram,False
13,13,swishersweets 666,Take it to the beach with Coastal Cocktail’s blend of kiwi and peach    ,False,False,#SwisherSweets  #LimitedEdition  #CoastalCocktail  #CoastalVibes  #Summer  #Tropical  #GirlsWhoSmoke  #BabesWhoSmoke  #Swishers,False
14,14,swishersweets 100,In case of emergency Rip pouch and strike lighter ,False,False,#SSMINI,False
15,15,swishersweets 128,Nothing can kill this vibe ,False,False,#LifeIsSweet,False
16,16,swishersweets 470,Swisher good swisher sweet Let’s light up the night 🔥    ,False,False,#SwisherSweets  #Swishers  #Cigarstagram  #Cigarillos  #EncoreEdition  #StickySweets  #SmokeBreak  #LightItUp  #CigarsofInstagram,False
17,17,swishersweets 316,Is your girl the type that would pass it,False,False,None,False
18,18,swishersweets 302,The incredible host for tonight’s red carpet justinavalentine ,False,False,None,False
19,19,swishersweets 464,Biiiiig mood    ,False,False,#MangoSeason  #SmokeBreak  #LightItUp  #Swishers  #SwisherSweets  #Cigarstagram  #Cigarillos  #SinceDayOne  #SummerVibes  #Mango  #Classics,False
20,20,swishersweets 458,Now it’s a party Tag a shawty who brings the 🔥    ,False,False,#SmokeBreak  #LightItUp  #Swishers  #SwisherSweets  #Cigarstagram  #Cigarillos  #SinceDayOne  #SummerVibes  #LimitedEdition  #LemonTwist,False
21,21,swishersweets 459,In the studio today with ludacris and our boy childishmajor Stay tuned for their collab coming soon✨,False,False,None,False
22,22,swishersweets 303,melii brought the 🔥 to the carpet tonight,False,False,None,False
23,23,swishersweets 465,IT’S BACK Run don’t walk to your hookup and stock up on this fave Limited Edition 🍒💥    ,False,False,#SwisherFam  #SmokeBreak  #LightItUp  #Swishers  #SwisherSweets  #Cigarstagram  #Cigarillos  #SinceDayOne  #SummerVibes  #LimitedEdition  #CherryDynamite,False
24,24,swishersweets 471,If you thought 2018 was 🔥 just you wait Introducing the Artist Project Class of 2019 we out here    ,False,False,#SparkParty2019  #SparkAward2019  #SwisherArtistProject  #ClassOf2019,False
25,25,swishersweets 317,You dont mess with the greatest hits,False,False,None,False
26,26,swishersweets 129,Not a second late,False,False,None,False
