,id,text,exp_tag,amb_tag
0,0,What would you do with $15K from @brantleygilbert ? Head to IGTV to see what Bryson White did with his Hometown Grant check. ,False,False
1,1,"@brantleygilbert drops in from his ""Dawg House"" to surprise emerging artist, @bryson.h.white and help jumpstart his career with a $15,000 Hometown Grant check. ",False,False
2,10,Get in on this $10K surprise  from @dababy by heading over to IGTV to see what went down. ,False,False
3,100,In case of emergency: Rip pouch and strike lighter. ,False,False
4,101,"When you hit that perfect tear you know it's going to be a good smoke. Spark it up, it's the weekend. ",False,False
5,102,"Nothing but good vibes heading your way, fam. Keep your head up and keep making the most of those little moments. Because those are the moments that remind us that ",False,False
6,103,Only a smooth smoke will do. Only ,False,False
7,104,They may be small but they pack a serious punch. Double tap if you've always got a MINI pouch in your back pocket. ,False,False
8,105,Oppose California Plan to Ban Flavored Tobacco.  Contact your legislators today at http://findyourrep.legislature.ca.gov/,False,False
9,105,,False,False
10,105,,False,False
11,106,It's a straight fact: EVERYONE can pull off a black tee. Get a quality one for your rotation at swishergear.com,False,False
12,107,Get a grip. The weekend starts tomorrow. ,False,False
13,108,These moments feel like a year ago and yesterday all at the same time. Let's never take these moments for granted again. Because it's the little moments that remind us that ,False,False
14,108,These moments feel like a year ago and yesterday all at the same time. Let's never take these moments for granted again. Because it's the little moments that remind us that ,False,False
15,109,You know she's a real one if she burns the Original blend.  ,False,False
16,11,Drop a 🔥 if you mess with ,False,False
17,110,Monday's are a little bit better when you have some Swisher Sweets Classic Cigarillos on hand. ,False,False
18,110,,False,False
19,110,Let us know if you feel the same👇 ,False,False
20,111,Why do we think ,False,False
21,111,,False,False
22,111,"So throw up a deuce, give a nod and show love from a distance when you see them out. ‘Cause you know it’s the little moments that remind us that ",False,False
23,112,Which Swisher Sweets Classic Cigarillo are you sparking this Friday? ,False,False
24,113,Y'all asked for a Natural Leaf Swisher Sweets Cigarillo. Here you go. Where's our Original Leaf lovers at?,False,False
25,114,That’s a tough one. WYD?,False,False
26,115,Lace up the kicks and grab the sticks. ,False,False
27,116,The ,False,False
28,117,Richer. Bolder. Smoother. Who’s putting a BLK Smooth in the rotation this week? ,False,False
29,118,The weekend doesn’t start until that first cigarillo gets lit!,False,False
30,118,,False,False
31,118,Who’s riding into Friday night with a ,False,False
32,118,,False,False
33,118,Bonus points if you’ve stocked up on all four Limited Edition pouches. ,False,False
34,119,3 in a pouch beats a friend left out. Who are you sharing a Swisher Sweets MINI with this weekend? ,False,False
35,119,3 in a pouch beats a friend left out. Who are you sharing a Swisher Sweets MINI with this weekend? ,False,False
36,12,Smooth & steady. There’s only two weeks left in 2020. ,False,False
37,120,That's the motto. ,False,False
38,121,Summer days call for a ,False,False
39,122,"Nothing says ""chill out"" like that first pull from a BLK. Double tap if our tip cigarillo is your go-to when you need to get away.",False,False
40,123,,False,False
41,124,Which of the four ,False,False
42,125,"It's a beautiful day for a smooth BLK. Settle in and slow down, the weekend is almost here.",False,False
43,126,Sliiiiiide into the weekend in style. Fresh swag available now at swishergear.com,False,False
44,127,"If you can see this, you're on the list. Level up that smoke sesh with the only cigarillo fit for the VIP section. Who's crushing some Leaf Cognac tn?",False,False
45,128,Nothing can kill this vibe. ,False,False
46,129,Not a second late.,False,False
47,13,"Hometown Grant recipient, @freshprinceofbelmont, doesn't know what's coming when @dababy drops in to surprise him with the $10,000 check. ",False,False
48,130,"Summer is slipping away, have you copped all four ",False,False
49,130,"Summer is slipping away, have you copped all four ",False,False
50,131,Leaf Cognac is for LEGENDS only! Tag a friend who's game.,False,False
51,132,Always keep a little something up your sleeve. Like a fresh pouch of BLK Smooth.,False,False
52,133,Tearing into a Thursday night like.,False,False
53,134,That moment when you get to lean back and fire up your favorite Swisher Sweets. ,False,False
54,135,Why chase a rock when you can smoke Diamonds?,False,False
55,136,Keep the ,False,False
56,137,Double-tap if you're about that MINI life. ,False,False
57,138,It's Saturday night so you KNOW ,False,False
58,139,Get that virtual smoke sesh going 👇,False,False
59,14,We've teamed up with @DaBaby to help give an emerging artist the runway to jump start his career with the Hometown Grant. Tune-in tomorrow to see it all go down in Episode One of the series! ,False,False
60,140,It's a grape day to take the party outside. Who's burning a Classic Swisher Sweets today?,False,False
61,141,"If you like our Original pouch, you'll love the remix. Heat up that summer smoke sesh with one of our four ",False,False
62,141,"If you like our Original pouch, you'll love the remix. Heat up that summer smoke sesh with one of our four ",False,False
63,142,You don't need a getaway to get. away. Just a quiet spot and the BLK of your choice.,False,False
64,143,"Grab that Monday Swisher Sweets and spark the lighter, fam. You earned it.",False,False
65,144,What’s your favorite ,False,False
66,145,Who's starting those ,False,False
67,145,,False,False
68,145,Tell us which of our four colorways you’re repping 👇 ,False,False
69,146,What blend are you smoking rn? Let us know 👇,False,False
70,147,The must have tee! Make sure to add some ,False,False
71,148,YOU ARE NOW ROCKING WITH THE REALEST. Give your smoke session the VIP treatment with Swisher Sweets LEAF Cognac.,False,False
